epoch,loss,mae,val_lose,val_mae
1,810.8020737,17.973701,434.0479833,16.783974
2,229.5092226,11.9705305,533.0862299,19.261484
3,171.7235261,10.26547,491.9442582,18.769812
4,136.9258048,9.148455,320.8785005,13.984319
5,112.0501052,8.346957,357.3537165,14.959615
6,99.63799541,7.8553553,238.8383925,11.984561
7,85.07710807,7.2270308,313.6191272,13.857629
8,80.13001321,7.0798025,261.5425044,12.428149
9,71.36435763,6.6739635,517.2637817,19.084175
10,66.82107618,6.4913425,391.795566,15.84316
11,59.37848562,6.109839,285.7127969,13.177334
12,61.3491647,6.2170854,283.3548454,13.009478
13,57.31366639,6.0098267,276.8937828,13.236956
14,56.01489535,5.908873,538.8699714,17.733187
15,54.66799297,5.8643208,885.94793,22.358572
16,50.61785942,5.616185,419.4575017,16.85659
17,45.60989357,5.304255,299.999865,13.721096
18,47.26080873,5.462066,244.3348929,12.233624
19,41.76394578,5.154866,277.6172676,13.460695
20,37.58369554,4.8927293,274.8243336,13.1961155
21,37.72694308,4.9190025,288.5662548,13.526617
22,35.95380589,4.757767,260.8720481,12.544641
23,35.0897783,4.6487083,224.7538134,11.701528
24,34.42393837,4.6595316,327.1747399,14.834191
25,31.38393179,4.4423537,236.1944137,12.039813
26,32.11202423,4.5045004,237.0225766,12.033095
27,30.36006396,4.4016385,237.423723,11.808572
28,28.86846481,4.285162,233.0006703,11.800866
29,28.17734818,4.183967,231.1165532,11.879436
30,28.72374243,4.2575088,225.6821792,11.862215
31,25.71162322,4.046362,256.7644721,12.7845545
32,25.03359043,3.954902,348.5303799,15.017413
33,25.00196433,3.9526038,216.4949736,11.624252
34,23.9322354,3.891386,211.5219261,11.439742
35,23.46824069,3.8767982,244.3137969,12.413001
36,22.82814198,3.798956,223.026489,11.735844
37,20.9074497,3.6468184,217.2507599,11.5557165
38,21.57056694,3.7290096,233.583448,12.073354
39,20.29877409,3.567355,283.7083742,13.4431715
40,20.19959389,3.5572033,226.8183289,11.744736
41,19.30308681,3.523758,330.6520294,14.798348
42,18.76823845,3.4360392,267.3548235,12.950203
43,18.85063313,3.4524233,204.2560181,11.256043
44,18.00117221,3.3897598,283.5802711,13.523044
45,17.40322145,3.324935,215.7618694,11.400596
46,18.03222866,3.3816228,236.1394346,12.179968
47,16.63760379,3.2350245,199.9153778,11.133535
48,16.3457511,3.206282,228.0042022,11.851091
49,15.82301834,3.169502,227.0622321,11.94795
50,15.16361138,3.1030116,203.7874872,11.329103
51,15.88664652,3.1684656,248.7291108,12.509546
52,14.95394358,3.063162,207.3599454,11.36145
53,14.54693434,3.0253088,205.6834748,11.278635
54,14.27466407,2.9996133,259.0463924,12.683957
55,13.71606931,2.9596016,226.8226057,12.124473
56,13.6958109,2.920739,215.2917053,11.3994055
57,13.37623508,2.912575,209.749382,11.373288
58,12.52673717,2.79535,202.4225255,11.180814
59,12.86822229,2.854695,204.5834241,11.219757
60,12.25785446,2.799896,362.0143588,14.559964
61,12.70090228,2.8541439,228.5458473,12.141101
62,12.22508736,2.7972965,230.6669768,11.985887
63,11.60894793,2.7153463,199.7566625,11.109963
64,11.81300769,2.7411778,202.0549652,11.103838
65,11.08838868,2.6568768,192.3268158,11.018696
66,11.59162248,2.7102835,207.3220217,11.331238
67,10.83487945,2.618813,200.9533159,11.169198
68,10.74913081,2.6022406,196.8679194,11.057672
69,10.28393891,2.5680578,195.8172896,10.929992
70,10.92365902,2.607928,190.0035794,10.918981
71,9.91724041,2.5058837,207.0948269,11.554344
72,10.1506105,2.5304973,194.2398009,10.950243
73,9.984643988,2.5251136,189.8210002,10.845054
74,10.22289205,2.5472498,195.070648,11.015467
75,9.379996313,2.4439905,198.9181359,11.204918
76,9.886936177,2.5017638,191.4935193,10.918466
77,9.68590122,2.4708016,196.1156574,11.148069
78,9.607719137,2.4668167,193.6926622,10.924965
79,9.472937532,2.4404612,199.6486928,10.992836
80,9.696323117,2.4762387,195.5122475,10.983582
81,9.314440487,2.4325888,196.7129271,11.041103
82,9.088633551,2.3851726,202.2727183,11.179006
83,9.289552917,2.4063551,200.5127319,11.041589
84,9.172734082,2.404296,186.7797542,10.811795
85,9.252198725,2.4037795,191.5389717,10.834046
86,9.019561941,2.40128,200.4060381,11.152869
87,9.16384688,2.3950646,215.8467845,11.464111
88,8.892463686,2.3692522,192.238046,10.912677
89,8.745186392,2.3525734,202.8787123,11.045419
90,9.067439867,2.3877826,193.5488368,10.985849
91,8.437157447,2.3188517,186.5982776,10.770109
92,8.746736628,2.3492994,188.0701559,10.87366
93,8.052128692,2.2534277,184.6259666,10.676039
94,8.165272328,2.2527056,186.2761923,10.691565
95,8.50049695,2.3249724,186.6910383,10.762294
96,8.202281278,2.2657318,203.9086644,11.517687
97,8.34106482,2.2797928,189.8973877,10.767982
98,8.393368368,2.289956,187.2449289,10.873716
99,7.763112341,2.210972,190.7514,10.782691
100,7.941636441,2.2452304,191.2657408,10.826285
101,7.978395174,2.2620356,194.4922445,10.89991
102,7.689943003,2.1990063,190.6834532,10.827
